filename,diagnostics_Image-original_Mean,diagnostics_Mask-original_VoxelNum,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
Person10,1837.226976751512,478,0.719026135135812,0.4499483781220594,9.620332981267657,21.380970460255575,20.819262874979746,18.601083312740414,29.426285018669958,33.434233304466694,1047.62358347831,15.373476555490532,0.5765580408567783,865.1895570203254,0.825859183264786,1129.649191621691,3543.5,6730.6,13538808347.0,7.207457731652823,1981.75,2.047249336147065,8239.0,1040.5920502092051,5182.05230125523,5179.5,2203.0,6036.0,818.5664318412323,5322.017177229704,-0.14192652351463794,31996033273.450947,0.007606659547276832,1470200.781783407,16651.526409895167,73405426.37638365,-173042.91251747456,5218.8173480814585,2974.862498091798,0.27168797395646105,43.10460187296457,6.033636247692409,893.8732168391354,0.06538135579122997,0.025578334721498928,0.9554304078211311,0.8596744632375635,-0.7628435859007001,0.9999819430335084,0.03140422283125778,126.83283245013617,0.00276035045917342,8.63335175501765,0.9820524124258139,0.004786198198086572,253.66566490027247,6.9100500989044535,2048.4199615433145,7.3949925963734096,391.255230125523,0.818525586036659,0.10202902610248418,3.6359832635983262,2354.0953939882,16699.92050209205,1.3221757322175731,23567.615062761506,0.0030501498972546792,0.0030164740489622096,0.9241050674105068,15089.33809855881,0.003008344278482604,3.617091718747086,0.007597660769954643,2352.5636411360674,16681.264289310704,1.0122118165534209,16941.169293283005,0.0030296112339606327,0.00302832377032504,7.219399072460694,472.27611425963886,0.9919549422022423,0.9959768265207596,0.004022528898878901,0.9969470458616448,16616.288038317627,0.003028001904416142,3.3929359823399556,0.007489924905827717,2332.624514519344,16447.42825607064,1.17439293598234,20171.770419426048,0.003195157087998326,0.0031771152823351274,409.1501103752759,0.9032011266562383,0.9613073338238901,15628.552673534461,0.003172909982313805,7.34476266355991,0.9476987447698745,0.06097198465954222,0.005603971529466525,0.010597020881366359,315061.4168925357,4.250380720506802,142.91794310265985
Person11,194.25640110447588,33001,0.7318236201587835,0.710585326626468,32.88162267747435,46.27399616254554,49.66085099255985,54.17119424729361,49.043463648782314,58.33241548836472,31174.8955266729,33.86440339088773,0.627620078689009,7632.332816124358,0.2448230439006353,31254.133403142252,478.0,938.0,15624329305.0,4.707106420769222,216.0,3.0661040089032947,1204.0,136.03354921002628,666.024878033999,637.0,0.0,1204.0,93.89651611166244,688.0771594951151,0.4656847737867586,14797275004.79061,0.046395190882467,29861.039258662895,808.9490225322342,69449.38461868321,1084.7368413986137,157.52265241921674,28.313712091718585,0.6938892941651069,3.5829018336012246,3.3058470030840414,13.986868036218159,0.3872047532020804,0.3113671752977957,0.9889260065324079,0.9365037395770612,-0.156313090161801,0.8089063895271185,0.30307730489437373,27.86611831319934,0.004486441564582189,8.601330672694528,0.7091700569072911,0.011778565872165522,55.73223662639869,5.552535602605894,46.45909112773384,7.80369052483572,4180.7175843156265,0.12668457271948205,6.46678209174946,1531.0876943122935,47.83696653294018,785.5714372291749,24.04899851519651,19464.63631405109,0.05005343431196091,0.002663919903773717,0.20375779386775156,157.43853489697756,0.0005955463579839711,1319.4381253887575,0.045575889017745515,48.389586751450366,783.4116684866167,1.5214036036588294,1202.390392543208,0.003946658471713943,0.0027133307835660514,5.316542636569432,23144.502160175067,0.7928466619655476,0.877187870763823,0.1977083431750761,0.9083994940240773,710.3174466271638,0.002504703960285918,259.8128868880135,0.03655217879685052,59.20269398909786,770.4213562183455,659.6596792346652,495439.9328925155,1.0244460177886803,0.003328988484885653,2562.051209904333,0.3604461465819264,0.6232576644782222,479.9994459288455,0.0018216402542163615,7.197175032149632,0.21538741250265145,638.1041166570976,2.08169430145432,0.00031787070531455344,2517.497003668594,0.09731584926829659,0.31343459438796756
Person12,178.64085918924084,14284,0.8696602370129659,0.6693988505501959,24.76724424205128,36.999233299690395,49.21875,44.00316491475392,52.2482804740979,52.2482804740979,18724.232269250206,32.176762000706766,0.6075248728072268,5612.927179456499,0.2997680812085581,18831.51415558532,672.0,952.0,9771161749.0,4.2144723954800885,142.0,8.227475930999463,1388.0,89.33383796170354,818.3243489218706,828.0,0.0,1388.0,59.563527561896656,827.0812596348709,-0.8564010538655016,12881949789.471249,0.0661909042638743,14408.670000801243,1158.406012518535,25100.38392300308,-330.6374443977826,55.31468090444757,17.314272724528514,0.4813039531294265,3.017139758158979,3.0499532228138597,7.273361507652142,0.3926512751563175,0.3120469869043267,0.9946270168898874,0.9509583214942781,-0.10963409226419235,0.6155996633155087,0.30713228865128356,33.89377922918029,0.0076590806184949995,7.666150083946736,0.5092490005626547,0.0193114289623005,67.78755845836056,4.841284601416973,18.157238407244026,7.085343129696742,2043.4549145897508,0.14305901110261487,5.018743313325294,945.4708765051806,23.136505574872295,1129.052856342761,19.825399047885746,23360.5903808457,0.08781988282129742,0.0025953407362381622,0.21197420839660205,230.93442197460564,0.00033249266510444465,820.9877650128225,0.0645417512147049,23.88834384640287,1124.8321920570993,1.4583215470281239,1656.0526501240727,0.004927652948463253,0.0023967215058444563,4.7718203941465385,10451.531585035576,0.8136247801410534,0.8904637787303706,0.1709437923494949,0.9176187087983904,1028.9216496534707,0.0021757109829993824,165.75089605734766,0.049507436098371466,38.85661797767243,1076.8972520908005,464.4611708482676,580293.6376941458,0.5212386616626503,0.0016897145644986906,1053.7801672640383,0.3147491539020425,0.579117047227996,623.7721646963407,0.0008902835739713954,6.974398529061701,0.234388126575189,446.25876537500227,0.6317246484936693,0.0006177369187285835,2656.955416840704,0.03575266375338024,1.000220428407253
Person13,176.71756536989795,34092,0.8039408652274775,0.6627562337461727,37.753595343534535,56.964526957574705,60.98820180273436,70.77170219499291,71.08797794113397,71.84890702931203,64319.392492517356,45.79611108954658,0.6022572944754806,12890.309494887611,0.2004109335514513,64391.32245252752,626.0,1309.0,32763554978.0,5.366325082697766,376.25,3.0977486119796427,2128.0,216.41499007750787,943.2544291915992,907.0,255.0,1873.0,156.5490878906569,980.3231744082283,0.631403670973,61882219678.50262,0.027947849225475413,71304.608092256,871.1898713633811,447631.0322013606,4070.8562246891793,384.86636727817273,110.72983758156639,0.5635562784736817,7.331031560749845,4.190629916346165,47.670925265067204,0.27676081346375414,0.2002582595770019,0.9823326216162325,0.9187403658600559,-0.12095779597531067,0.7264693056472582,0.19721764080166704,28.331147111790283,0.0016301230127257764,10.157410104796794,0.5991399386750822,0.009392872403510194,56.66229422358059,6.244297784962773,123.89905121493476,7.916737871099664,6635.4676170362545,0.194634155140099,4.415944972055862,952.7980757949078,114.12900674471624,912.310835386601,13.234189839258477,8800.464126481285,0.03516481441585005,0.002119042928563705,0.34499076486988295,351.2646241740384,0.0006907202527107957,870.3692805862066,0.027617007653094876,114.29963343300506,925.9454573990461,1.304547393722451,1152.7394235538343,0.0028321479219992974,0.002094416779629572,5.76180195300266,27640.226318718785,0.8721111686737972,0.9242479625267376,0.11969498027252692,0.9456815791766773,884.431765698845,0.0019646902702812924,369.95064330886095,0.02689181095506731,119.2018107374245,1018.0943519662717,142.87373700661482,46314.28123864214,0.5347058558727559,0.0020147151389653516,5528.640619321073,0.40187836151203554,0.6584987741974297,688.4216532251586,0.0013123478605116948,7.417404058859636,0.4035257538425437,136.7324769972187,2.0058792304364923,0.00023338687909897694,12163.839084345911,0.2212531917675389,0.540798293031688
Person38,148.40940109888712,86153,0.7660772974047761,0.6257904260316645,48.33066725854483,77.2313944862099,92.60546741060415,89.55812393234525,86.36741625795602,98.50615641637287,113389.50275937741,59.165217962797804,0.5373873348704397,21082.005950801995,0.1859255525226165,113604.71565161119,353.0,740.8000000000029,26812791484.0,4.591510506436185,180.0,4.882463433893127,1303.0,122.51638778972469,532.3712232888001,510.0,54.0,1249.0,76.17170814624488,557.8736037917741,1.2043345066244198,35356395625.988205,0.05190469982184561,27803.838421607805,442.7736071771208,107177.6561921931,2201.4091105611355,147.25098562873183,32.236646708078254,0.6419974606141543,3.6697592901596185,3.2272333228268235,15.687735738621368,0.41016253906317335,0.3396580276899647,0.9885987172061063,0.9379515752247384,-0.1797321831663473,0.7406878135656233,0.28353577756266735,20.34506569624876,0.006883737292129469,8.333504826820409,0.6664770562698796,0.018616069377375102,40.69013139249751,5.435148348647148,44.87190808420252,7.941447340277581,9122.343911413416,0.10588538891754687,8.660578396893952,4471.745603751466,44.551234709509366,437.2242405952201,35.57342170324887,13606.962241593445,0.12446949465940534,0.0035335172797109843,0.1321734815080858,73.5418763225334,0.0004390914717319614,3635.6056242706018,0.04999718447926109,47.170623641434176,448.6285971638159,2.145128015270762,878.5882238772349,0.007701804295205995,0.003520268290902233,5.344614007597589,57715.92580540563,0.7622500701589345,0.8389323466569761,0.5154972443937622,0.8813919140262494,400.30533797298,0.003103727532471774,407.5215689611163,0.034673833826352106,69.58447241238335,592.6053773504638,2905.6343912192633,1049966.3682464052,9.014258150325311,0.003321658231029967,3234.7117331745085,0.27522434554364916,0.5408928968483446,336.54987617726067,0.0017245541517085386,7.819384853059874,0.13642008984016807,2851.901112962797,7.7823423224191615,0.00010975971944745994,2764.291433165077,0.08989432987549478,0.13446150264408452
Person39,99.70921952865449,113659,0.7076342704332999,0.5667687018686074,35.42715015468684,62.50724508584427,62.586162741035174,62.45070849674161,74.28725456904603,74.64050750525132,52739.65839291558,44.23226877311688,0.5276201556875189,12890.040692614288,0.2444088772168798,52844.77389306028,303.0,491.0,19436581275.0,3.6555213274656215,96.0,4.183156823461106,777.0,60.31715130308105,405.9453364889714,410.0,118.0,659.0,40.18043082379216,413.5309546529608,0.1888979883692791,9036871191.29558,0.09769786783801943,6216.234239044915,177.73937239298124,4129.794265210567,21.77189941825197,30.544656466904996,4.653891790744921,0.7240397034395415,1.3784129295378424,2.118118410529117,2.4125669825644764,0.5861157829541119,0.5422305722350381,0.9943673263411061,0.9557754794986706,-0.25298001008131776,0.8347574397887161,0.40557493199899464,13.085732031869448,0.02542365811706317,6.197856002974037,0.751328726657743,0.06278249432326223,26.171464063738902,4.435688064787697,8.799637064412481,7.608469029685207,7784.614284834461,0.06849096230685173,20.20696777470978,11104.241960601448,10.033523299737238,172.81613422606216,92.15895793557924,16213.710616845125,0.6369959581946798,0.00796850985802856,0.04609077982596976,8.415166389503575,0.00044679019949177853,7365.522333901758,0.0902017350004418,11.2647086382206,172.7648373848791,4.316335259055604,740.0983435009117,0.03268524459771644,0.008277223737476162,4.94769806311703,52865.59243394668,0.6009406805400169,0.7122133886314461,1.6097606387719166,0.7820482315689488,134.63180614655883,0.006655922307845884,194.38552188552188,0.05454139222377157,26.436374831366418,197.65404040404042,249049.2679573513,45358633.790404044,1435.9287997361891,0.011146556003748146,649.9994388327722,0.18237919159168692,0.4292915231466216,86.7524737396811,0.004513509209050627,7.6443327215087065,0.03135695369482399,248032.24145393015,19.049020131443807,0.00010934184266453183,338.90807981631497,0.02574579718911594,0.039782259037268876
Person4,845.1598480519465,1424,0.5228134333058406,0.44631958546642675,7.8032879443182335,17.483633249397737,19.753956765911404,19.890255680595267,10.9805005795828,20.335384543905725,890.0614838024634,9.14067832577778,0.7316531207394715,611.5879224449662,0.6871299720016866,905.2388557698235,3306.1,7187.0,43376975582.0,7.526139722415978,2650.5,1.6963175951977443,8271.0,1294.280652300846,5323.130617977528,5343.5,2241.0,6030.0,1070.4262630451522,5519.1810313689175,-0.10322308154348463,27574805999.020546,0.006050964209064511,2125639.680972652,16896.893919936367,110567959.526026,-174000.660289478,5841.353630158683,7702.026614507845,-0.1301738208482715,69.55318283734154,6.5650339123121215,1471.4324018377213,0.06853355814142309,0.033602446902505564,0.8968325211317028,0.7998650502323078,-0.5817303960509772,0.9999012149629176,0.03408330303472532,131.73968952672988,0.0007132610492923792,10.544959286620248,0.9099520640306112,0.0019677262750098833,263.47937905345964,7.619622852517001,3385.845061166639,8.135989228929686,894.751404494382,0.628336660459538,0.2770010099734882,8.616573033707866,3401.4403957833606,18890.501404494382,1.8890449438202248,36217.816011235955,0.00134881018785677,0.0011035978541713148,0.819654143258427,15327.192742470348,0.0010498065642565327,8.508683908856426,0.006037703168177432,3397.3297617242197,18882.969576661813,1.0332570920168658,19525.178326057103,0.0011216865665393194,0.0011123305650686162,7.568611037338355,1381.9626143935338,0.980293254939527,0.9896283491789111,0.011589250802871388,0.9923385903442319,18730.38944344228,0.0011100988499144796,7.343825665859564,0.005927220069297469,3341.4695180379917,18765.946731234868,1.5286521388216303,29210.22437449556,0.0013653371715206086,0.0012255065872271067,971.1759483454399,0.7838385378090718,0.9064374202734632,16909.048802706446,0.0011961815923943453,7.941209210861009,0.8700842696629213,0.20772955356613584,0.016736607111552736,0.0025021028230293803,868660.4371218949,6.724426548525852,49.13442391289241
Person5,84.00227702747692,683,0.8412351780696665,0.4292058707377562,10.15679532934382,23.66415750997404,24.2578125,23.89567908647725,25.569979517767756,26.107249969626494,3213.2213592529297,19.907121756771648,0.7064945043591827,1490.5129946910363,0.46386875600676913,3307.8643798828125,281.2,413.0,82775905.0,3.1287702356370883,64.0,5.601358977362879,621.0,42.94057523328524,343.30453879941433,335.0,216.0,405.0,27.480417018878555,348.1301337774768,1.2071200484255995,400895267.4407959,0.14334100053806198,3336.583683645274,45.731633040304516,759.3293406206817,41.3124819740361,13.201508905052352,5.612933039629022,0.38247191715811096,1.6505618873909595,2.3754257650196617,2.7919058243982176,0.5254444745101369,0.4709757479401014,0.9822829299729633,0.9181894151756571,-0.1548228687782847,0.7619165695732969,0.4188826643172702,6.618717245548149,0.034375091115535224,5.522037713827686,0.5534038853772976,0.08791443918874622,13.237434491096298,3.7030617851853598,4.703610486170343,6.00261989868228,84.20351390922401,0.12328479342492535,6.945445658954444,97.90190336749635,5.457071870933721,44.56076134699853,26.431918008784773,971.6383601756954,0.9877440151040269,0.04292540401644685,0.182224137261708,11.035616885141305,0.007619574285596694,81.88255613626318,0.13732186870209495,5.848083368178958,45.84867991363968,1.7245431994813551,71.2622373193715,0.0732264733982182,0.04339496111490978,3.7294757318860694,484.7378507830864,0.7962938439639549,0.8686789052821265,0.3048807487001573,0.9049326061021306,42.06431237333847,0.03966001113061716,13.289655172413793,0.09165279429250892,10.694411414982163,62.13793103448276,148.0344827586207,5219.565517241379,5.061841552850563,0.046199966514465195,38.889655172413796,0.26820451843043996,0.525264354633481,36.76889899782776,0.020165145150509597,5.571827821294801,0.212298682284041,125.84713436385255,0.5706445921550937,0.014478299856510298,113.21719179938201,0.035815830623142905,2.063587365645294
Person6,1343.7636375834923,4965,0.6127408869946438,0.539970782607031,21.320900372536876,39.48528524005968,40.44329674516476,29.954141550820477,46.354021535353326,47.420411300066284,11633.159030192764,24.194248701230684,0.6753006462623009,3676.6481392988603,0.31604898804842846,11733.697001310065,3255.8,4485.200000000001,76544391872.0,6.334030676772777,580.0,4.324669409349836,6115.0,385.90275006617316,3892.57804632427,3914.0,1469.0,4646.0,246.099488732241,3926.4227925711407,-0.25583191812342687,180896012361.64932,0.015578008800779678,264632.0992964853,9761.10062620248,3778450.7695248746,-1715.3911069882824,901.3801346963307,397.24699941200737,0.3538413647487808,14.517523437061586,5.259139520733527,179.3207337819486,0.14946600427890788,0.07730217748605071,0.9892523455228202,0.9317916767392274,-0.1677740793574352,0.9308333127598709,0.08124073663189489,98.15673777246401,0.0005400687245750763,11.22042616835737,0.5423013232336948,0.0019618000154340396,196.31347554492854,6.836963758435436,324.65678352708426,7.566440760669184,2338.3466263846926,0.47096608789218386,0.5464748303583291,77.3448136958711,423.48549842857705,10071.472910372608,2.798590130916415,28049.760926485396,0.0005297704074325687,0.00033051722053436096,0.7011638693073738,7067.427922345306,0.00029674526389119097,75.35452657272106,0.015475196418055677,427.65266891562857,10072.435495633168,1.059906888222215,10672.974136142237,0.0003415190941216235,0.0003348335224805455,6.463270793132726,4685.880842318243,0.9621528384036302,0.9807421179022386,0.019978610050621733,0.9854227347015786,9926.379500897141,0.0003332038320583802,54.61907243355915,0.01423112882583615,482.6663077678822,10081.458051068264,2.2363210005211047,22333.30979676915,0.0005324741429656245,0.0003946276252199335,2558.4262636789995,0.6666040290982281,0.8434260211274623,8501.686444231038,0.00037669468624440696,7.319797138671651,0.7730110775427996,0.5628100254143789,0.03352438643934792,0.0016835330268117198,93093.70418046387,0.3953936698451126,14.209598735252293
Person7,113.21091801551277,9809,0.8876324817448189,0.8445027435682584,27.558432784130332,32.63273327886219,40.92887490081071,40.263544955620475,38.33254065753836,42.17830202637657,15363.497995435384,28.96587402643319,0.6217369329734472,4806.963930764966,0.3128821269865204,15439.707514465268,313.0,582.0,2078393163.0,3.9379701464631425,145.0,2.2673333670232623,666.0,81.02857719354753,449.8526863084922,455.0,178.0,488.0,60.69674295421998,460.3111398815279,-0.22543796801954463,3271463200.8139806,0.07044020867900999,9518.906120064818,160.4890710858877,4396.528695789964,-73.73718027218762,41.70363719795515,13.464568340257445,0.49593137250899066,2.5954929119574173,2.7683835887576578,5.381671200279295,0.4456149429882626,0.375753922486864,0.9703144337261029,0.8955038542188869,-0.15799354362980703,0.6433580124126586,0.3286120999099958,12.37799491324743,0.011072521329189313,7.057411396735303,0.545419780421322,0.02800794239339681,24.75598982649486,4.643873730663693,13.79205138455315,7.10169618849425,1093.0992965643798,0.11143840315673154,7.715861298232264,690.948006932409,15.325633266508676,147.82077683759812,34.12366194311347,6346.964420430217,0.3322309480188276,0.014949031369822603,0.11618906100925355,13.409732387123853,0.0025906086634538026,575.7894472546329,0.06980502420350052,15.27306504493423,142.8668700392074,1.9988610581909332,312.61630307920336,0.027420679665563965,0.01567956490498851,4.6297547540077675,6453.571646893291,0.7529874474919441,0.840813381745179,0.42322785271368246,0.879250174619497,122.37093939785021,0.01425862190497235,87.65451388888889,0.07608898775077161,14.23822624300733,102.43836805555556,1984.4991319444443,413014.59027777775,11.658381421828768,0.02611191185395934,243.10243055555554,0.21102641541280864,0.4616756783144848,48.185518078467084,0.012828415631937474,6.744448037974034,0.11744316444081966,1911.9980461214793,5.2191032150710175,0.0009193174965012181,265.516041912462,0.13979579169199113,0.11669758407373404
